央视V6,#genre#
豫剧-洛阳桥,http://uptt.gcwduoduo.com/webup/2201010/4576247a452d0b4109df07f3b9b10b36.mp4
曲剧-五女拜寿,http://uptt.gcwduoduo.com/v/220509/d4809d70978dbad3d89eea4ee34564ac.mp4
曲剧-李豁子离婚,http://uptt.gcwduoduo.com/v/200914/7213d1f14890895236168f31147dac0f.mp4
曲剧-李豁子再婚,http://uptt.gcwduoduo.com/v/190304/e6a4dded42eec0c0ccee4e86d1bdd83b.mp4
刘三姐,http://uptt.gcwduoduo.com/webup/220915/ed6f44a65bc48e48a1419a322fe253b4.mp4

梨园春,#genre#
梨园春926期,http://uptt.gcwduoduo.com/v/190624/094ab85367c868330de4d32190d84625.mp4
梨园春939期,http://uptt.gcwduoduo.com/v/190627/32d79330ec85ba920cf3fd9eda26ecf5.mp4
梨园春958期,http://uptt.gcwduoduo.com/v/190711/611e49a238871e35e54cafdcdf5e7621.mp4
梨园春967期,http://uptt.gcwduoduo.com/v/190624/4258e342dfe7037f3e3cc090af2f23e8.mp4
梨园春977期,http://uptt.gcwduoduo.com/v/190627/87202d178766324c0bf1088a72cdecef.mp4
梨园春978期,http://uptt.gcwduoduo.com/v/190711/e58e8ce26882439be4acbd0192054b9d.mp4
梨园春979期,http://uptt.gcwduoduo.com/v/190711/7d515f0a522b9cec057b3f96d6f72c49.mp4
梨园春981期,http://uptt.gcwduoduo.com/v/190627/261c442532c401d214b34e44e449dbb5.mp4
梨园春984期,http://uptt.gcwduoduo.com/v/190711/747a7d6c99728818f6e9c1a97f3cda24.mp4
梨园春985期,http://uptt.gcwduoduo.com/v/190711/15e1f5bd917685244627646bf73353df.mp4
梨园春986期,http://uptt.gcwduoduo.com/v/190712/ca72a4c1303a6a8454f588a76d481d91.mp4
梨园春987期,http://uptt.gcwduoduo.com/v/190627/4b57a51f88b890bf4091a1ac6a6baf85.mp4
梨园春989期,http://uptt.gcwduoduo.com/v/190614/0e453d0df337afa5c2c84aba775e0d64.mp4
梨园春2017年总决赛,http://uptt.gcwduoduo.com/v/190627/4cc248fec1ec1fa0c26eed39cab67fe7.mp4
梨园春-走进俄罗斯,http://uptt.gcwduoduo.com/v/190712/b1920dc94e7a984fa56cdaa6c13172fa.mp4
梨园春一起唱戏吧2,http://uptt.gcwduoduo.com/v/190618/d033058accae14ce40c4a0ee18ec88d5.mp4

历年春晚,#genre#
春晚1983,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4#https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5MTRfNDAzMDAxOTlfNjYyNzMxNjcwMjBfMF8z_b_Beb3bda599f76c60c463c433ca7460153.mp4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8#https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8#https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYwODJfMF8z_b_B647d10e431b4cc5e48e6c77347d69021.mp4
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8#https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxMjNfMF8z_b_B3dde97f36273f04403d4dc5eec611a35.mp4
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8#https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
春晚1996,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
